TimeStamp,Time,Td,Tw,RH,Twet_der,VP_der,Tdew_der,Sdur,Sdur_accum_der,Tgrass,Tconc,Tsoil,TSoil5,TSoil10,TSoil20,TSoil30,TSoil50,TSoil100,Sb,Sd,Sg,Sg_accum_der,Rn,G,Rain,Rain_accum_der,U2run_der,U5run_der,U5,Dirn5,U5max_der,P,Pmsl,U10run_der,U10,Dirn10,U10max_der,CNR4T,Sdw,Suw,Ldw(uc),Luw(uc),Ldw,Luw,Sb(csd3),,TimeStamp,RH,Sdur,Td,Tconc,Tgrass,Tsoil,TSoil5,TSoil10,TSoil20,TSoil30,TSoil50,TSoil100,Sb,Tw,Rn,Sg,Sd,G,Dirn5,U2,U5,Rain,P,Dirn10,U10,Sdw,Suw,Ldw(uc),Luw(uc),CNR4T,Sb(csd3),U0.56,U0.8,U1.12,U1.6,U2.24,U3.2,U4.48,U6.4,T0.56,T1.12,T2.24,T4.48
UTC,hhmm,deg C,deg C,%,deg C,hPa,deg C,sec,h,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,W/m^2,W/m^2,W/m^2,MJ/m2,W/m^2,W/m^2,mm,mm,km,km,m/s,,m/s,hPa,hPa,km,m/s,,m/s,deg C,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,,UTC,%,mins,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,deg C,W/m^2,deg C,W/m^2,W/m^2,W/m^2,W/m^2,,m/s,m/s,mm,hPa,degs,m/s,W/m^2,W/m^2,W/m^2,W/m^2,deg C,W/m^2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,deg C,deg C,deg C,deg C
20150926,5,5.89,5.66,98.3,5.78,9.12,5.64,0,0,-0.01,7.07,5.74,12.96,13.65,13.93,14.28,14.17,14.67,,,-5.8,0,-50.39,-22.07,0,0,0,0,,,0.2,1019.25,1027.51,0,0.1,295,0.5,4.13,-1.29,3.04,-15.67,-13.24,319.47,321.9,,,26/09/2015 00:05,98,,5.82,7.1,-0.03,5.79,12.97,13.66,13.94,14.29,14.18,14.67,,5.66,-50.8,-5.9,,-22,,0,0,0,1019.27,274,0.1,-1.7,2.2,-15.3,-14.2,4.14,,0,0,0,0.1,0.1,0.1,0,0.1,3.53,4.18,4.75,5.26
20150926,10,5.71,5.61,98.9,5.57,9.06,5.54,0,0,0.22,6.85,5.73,12.94,13.64,13.93,14.28,14.18,14.67,,,-5.9,0,-50.55,-22.12,0,0,0,0,,,0.6,1019.27,1027.53,0.2,0.3,266,0.8,4.16,-2.41,2.14,-15.19,-14.79,320.13,320.53,,,26/09/2015 00:10,99,,5.83,7.05,0.51,5.76,12.94,13.64,13.93,14.28,14.18,14.67,,5.66,-50.6,-5.9,,-22.1,,0.1,0.1,0,1019.27,260,0.4,-1.5,3.2,-15.5,-14.2,4.14,,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,3.16,3.96,4.6,5.27
20150926,15,5.67,5.51,98.7,5.54,9.02,5.47,0,0,0.34,6.94,5.68,12.91,13.62,13.91,14.28,14.18,14.67,,,-5.9,0,-52.23,-22,0,0,0.1,0.1,,,0.5,1019.31,1027.58,0.3,0.4,262,0.6,4.16,-1.65,2.54,-15.48,-14.75,319.84,320.57,,,26/09/2015 00:15,99,,5.68,6.9,0.22,5.7,12.93,13.63,13.92,14.28,14.18,14.67,,5.55,-51.9,-5.9,,-22.1,,0.1,0.1,0,1019.27,260,0.3,-1.7,2.4,-15.3,-14.2,4.12,,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,3.68,4.26,4.69,5.29
20150926,20,5.58,5.38,98.1,5.49,8.91,5.29,0,0,0.17,6.76,5.6,12.9,13.61,13.9,14.27,14.18,14.67,,,-6.1,0,-50.8,-22.07,0,0,0.1,0.1,,,0,1019.34,1027.62,0.3,0.2,260,0.5,4.02,-1.22,1.65,-15.16,-14.69,319.48,319.95,,,26/09/2015 00:20,98,,5.53,6.87,0.28,5.64,12.9,13.61,13.91,14.27,14.18,14.67,,5.42,-50.8,-6.3,,-22,,0,0,0,1019.33,260,0.1,-2,2,-15.3,-14.2,4.07,,0,0,0,0,0,0,0,0,3.3,3.89,4.25,4.99
20150926,25,5.51,5.4,98.7,5.37,8.92,5.32,0,0,-0.25,6.85,5.64,12.88,13.59,13.9,14.27,14.18,14.67,,,-5.9,0,-50.35,-22.18,0,0,0.1,0.1,,,0,1019.35,1027.62,0.3,0.1,260,0.2,3.95,-2.23,1.3,-14.8,-13.99,319.49,320.3,,,26/09/2015 00:25,99,,5.59,6.88,0,5.64,12.89,13.59,13.9,14.27,14.18,14.67,,5.42,-50.4,-5.9,,-22.1,,0,0,0,1019.33,260,0.1,-1.5,2,-15.1,-14.2,4.02,,0,0,0,0,0,0,0,0,3.45,3.91,4.5,5.15
20150926,30,5.44,5.31,98.4,5.33,8.85,5.21,0,0,-0.16,7.11,5.74,12.85,13.57,13.88,14.26,14.17,14.67,,,-6.1,0,-50.84,-22.34,0,0,0.1,0.1,,,0,1019.34,1027.61,0.4,0.1,260,0.3,3.81,-1.85,2.36,-14.55,-14.02,319.09,319.62,,,26/09/2015 00:30,98,,5.49,7.05,-0.2,5.71,12.86,13.58,13.89,14.26,14.17,14.67,,5.35,-50.6,-5.9,,-22.3,,0,0,0,1019.33,260,0.2,-2,1.8,-14.6,-14.2,3.9,,0,0,0,0,0.1,0,0.2,0.1,3.37,3.89,4.45,5.04
20150926,35,5.36,5.21,98.6,5.24,8.82,5.15,0,0,-0.35,6.75,5.58,12.83,13.56,13.87,14.25,14.17,14.67,,,-5.9,0,-51.25,-22.38,0,0,0.1,0.1,,,0,1019.38,1027.66,0.5,0.2,260,0.5,3.78,-1.66,2.48,-14.26,-13.98,319.19,319.47,,,26/09/2015 00:35,98,,5.39,6.99,-0.3,5.68,12.84,13.57,13.88,14.26,14.17,14.67,,5.24,-50.8,-5.9,,-22.4,,0,0,0,1019.33,260,0.3,-1.7,2.8,-14.4,-14.2,3.83,,0,0,0,0.1,0.1,0,0.1,0.1,3.13,3.77,4.51,4.93
20150926,40,5.29,5.18,98.2,5.19,8.74,5.03,0,0,-0.19,6.91,5.64,12.81,13.55,13.86,14.26,14.18,14.67,,,-5.7,0,-52.73,-22.36,0,0,0.1,0.1,,,0,1019.44,1027.72,0.5,0.2,260,0.2,3.64,-2.02,1.6,-13.96,-14.33,318.84,318.47,,,26/09/2015 00:40,98,,5.36,6.79,-0.27,5.59,12.82,13.55,13.87,14.26,14.17,14.67,,5.23,-50.6,-5.9,,-22.4,,0,0,0,1019.45,260,0,-1.7,2,-14,-14.4,3.73,,0,0,0,0,0,0,0,0,3.36,3.75,4.26,4.68
20150926,45,5.29,5.15,98.9,5.15,8.8,5.12,0,0,-0.54,6.84,5.63,12.78,13.53,13.85,14.25,14.17,14.67,,,-5.9,0,-50,-22.48,0,0,0.1,0.1,,,0,1019.44,1027.72,0.6,0.2,263,0.7,3.65,-1.25,3.28,-13.98,-14.97,318.86,317.87,,,26/09/2015 00:45,98,,5.26,6.92,-0.41,5.64,12.8,13.54,13.86,14.25,14.18,14.67,,5.13,-50,-5.9,,-22.4,,0,0,0,1019.45,285,0.4,-1.5,2.6,-14,-14.2,3.63,,0,0,0,0.1,0.2,0,0.2,0.2,3.16,3.78,4.37,4.99
20150926,50,5.18,5.01,98.8,5.04,8.72,5,0,0,-0.4,6.64,5.44,12.76,13.51,13.85,14.24,14.18,14.67,,,-5.8,0,-51.08,-22.47,0,0,0.1,0.1,,,0,1019.44,1027.72,0.7,0.4,276,0.7,3.61,-1.22,1.78,-13.8,-14.83,318.87,317.84,,,26/09/2015 00:50,99,,5.16,6.61,-0.49,5.46,12.77,13.52,13.84,14.24,14.17,14.67,,5.05,-50,-5.9,,-22.5,,0,0,0,1019.45,285,0.5,-1.5,2.2,-13.8,-14.2,3.59,,0,0,0,0,0,0,0,0,3.17,3.51,4.14,4.6
20150926,55,5.29,5.11,99,5.14,8.81,5.14,0,0,-0.41,6.76,5.51,12.74,13.5,13.83,14.24,14.17,14.66,,,-5.6,0,-50.69,-22.57,0,0,0.1,0.1,,,0,1019.41,1027.69,0.9,0.5,285,0.7,3.57,-0.21,4.15,-13.86,-13.36,318.61,319.11,,,26/09/2015 00:55,99,,5.23,6.69,-0.34,5.48,12.75,13.5,13.83,14.24,14.17,14.67,,5.05,-50.2,-5.6,,-22.5,,0,0,0,1019.45,285,0.5,-0.6,2.6,-13.8,-14,3.54,,0,0,0,0.1,0.1,0,0.1,0,3.18,3.96,4.45,4.66
20150926,100,5.18,5.09,99,5.1,8.74,5.03,0,0,-0.43,6.44,5.4,12.72,13.48,13.81,14.23,14.17,14.67,,,-5.8,0,-48.45,-22.58,0,0,0.1,0.1,,,0,1019.44,1027.72,1,0.5,285,0.7,3.59,-1.71,2.38,-13.27,-14.85,319.31,317.73,,,26/09/2015 01:00,99,,5.26,6.6,-0.47,5.47,12.73,13.49,13.82,14.23,14.17,14.67,,5.12,-49.8,-5.6,,-22.6,,0,0,0,1019.45,285,0.5,-0.9,3.4,-13.6,-14.4,3.61,,0,0,0,0.1,0.1,0,0.1,0.1,2.78,3.79,4.31,4.48
