product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,3.5,6.9,1454.6993,3.4,5.1042,0.3149,0.5612,289,285,98.62,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.4,6.7,61.2,5.3,3.2211,4.2406,2.0593,289,19,6.57,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.5,298.9,5.5,3.6012,2.962,1.7211,289,83,28.72,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,6.7,449.9,6.1,4.2047,2.773,1.6652,289,107,37.02,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.8,714,6.2,4.0568,2.4488,1.5649,289,176,60.9,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.1,6.8,805.6996,5.7,3.8367,3.2543,1.804,289,210,72.66,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.9,6.6,715.3999,5.7,4.3622,1.8247,1.3508,289,164,56.75,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.8,6.8,598.2999,6,4.6742,3.7685,1.9413,289,128,44.29,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,6.9,938.5997,6.2,5.5869,1.6801,1.2962,289,168,58.13,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.8,6.7,528.6001,5.9,4.2629,2.6696,1.6339,289,124,42.91,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,5.4,462,4.4,2.2319,1.1339,1.0648,289,207,71.63,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,6.8,1676.7992,6.1,5.9886,0.3957,0.6291,289,280,96.89,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6.8,751.1002,5.9,5.4428,2.0253,1.4231,289,138,47.75,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.9,1302.6,6.2,4.8424,2.1816,1.477,289,269,93.08,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.3,6.8,1317.6007,5.5,4.5909,1.5619,1.2497,289,287,99.31,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,2.3,6.8,1498.8003,4.5,5.1862,0.1927,0.439,289,289,100,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,2,6.7,1497.7003,4.7,5.1824,0.3327,0.5768,289,289,100,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,6.2,566.8001,5.7,3.0973,2.8887,1.6996,289,183,63.32,2.01515E+12,3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,6,508.6001,5.5,2.4104,1.5962,1.2634,289,211,73.01,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.8,6.7,1362.7998,4.9,4.7156,0.3745,0.612,289,289,100,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,6.4,1434.0996,5.9,4.9969,0.5447,0.738,289,287,99.31,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,6.2,493.3,5.9,2.1081,2.3354,1.5282,289,234,80.97,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.7,5.2,1302.3002,3.5,4.5062,0.2559,0.5059,289,289,100,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,5.7,77.3,5.4,0.8784,0.5444,0.7378,289,88,30.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,1.3,5.1,1293.6987,3.8,4.4765,0.2545,0.5044,289,289,100,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002289,16/10/2002,1,6,656.0997,5,2.2702,2.0082,1.4171,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,1.1,4.8,973.4003,3.7,3.3682,1.1269,1.0615,289,289,100,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.5,5.9,492.2001,5.4,1.727,0.7374,0.8587,289,285,98.62,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.4,4.4,236.9999,4,1,0.2231,0.4724,289,237,82.01,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.9,1.9,360.7001,1,1.2481,0.0291,0.1705,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.7,1.2,277.9998,0.5,0.9619,0.0087,0.0934,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,1.1,61.8,1,0.3863,0.0251,0.1583,289,160,55.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.5,1.3,200.0996,0.8,0.6924,0.0078,0.0885,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.4,1.4,206.5997,1,0.7149,0.0096,0.0982,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.4,0.9,149.3,0.5,0.5166,0.0047,0.0686,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.3,1.1,179.8,0.8,0.6243,0.0087,0.0934,289,288,99.65,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.5,1.1,168.7,0.6,0.5837,0.0106,0.1028,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.4,0.9,154.3,0.5,0.5339,0.0072,0.0846,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.2,0.9,138.9,0.7,0.4926,0.01,0.0999,289,282,97.58,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,1,139.7,0.9,0.4834,0.0133,0.1153,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.5,1.2,167.6,0.7,0.5799,0.0111,0.1053,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.4,0.6,140.6,0.2,0.4951,0.0005,0.0232,289,284,98.27,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,0.4,16.3,0.3,0.3019,0.0013,0.036,289,54,18.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.3,0.6,83.7,0.3,0.4982,0.0028,0.0529,289,168,58.13,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.3,0.6,139.3,0.3,0.5065,0.0015,0.0385,289,275,95.16,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.4,0.8,149.2,0.4,0.5163,0.003,0.055,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.5,98.3002,0.4,0.3425,0.0034,0.0585,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,0.7,49.1,0.6,0.4161,0.0149,0.1221,289,118,40.83,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,1.9,102.8002,1.8,0.3807,0.0242,0.1556,289,270,93.43,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,0.6,80.9,0.5,0.3428,0.0081,0.0901,289,236,81.66,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.1,0.7,126.1,0.6,0.4456,0.0129,0.1134,289,283,97.92,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.4,0.8,144.4,0.4,0.4997,0.0011,0.0327,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,0.9,122.0001,0.8,0.4502,0.0182,0.135,289,271,93.77,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,0.7,51.2,0.6,0.502,0.0076,0.0874,289,102,35.29,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.4,0.6,139.6,0.2,0.5095,0.0009,0.0305,289,274,94.81,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003053,22/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.3,0.3,5.7,0,0.3,0,0,289,19,6.57,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.4,3.5,204,3.1,0.7059,0.1101,0.3318,289,289,100,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.5,1,232.1,0.5,0.8031,0.0078,0.0882,289,289,100,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.5,0.9,212.9001,0.4,0.7367,0.0053,0.0728,289,289,100,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.5,1,236.7996,0.5,0.8674,0.0061,0.078,289,273,94.46,2.01516E+12,0.9
