Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
CA-Ojp,SWC_1_1_1,,,SWC-Other,,CS615 soil moisture sensor,02-May
CA-Ojp,SWC_1_2_1,,-0.3,SWC-Other,,CS615 soil moisture sensor,02-May
CA-Ojp,TA_1_1_1,,28,TEMP-Other,,Vaisala HMP n a gill radiation shield,02-May
CA-Qc2,NETRAD_PI_F,,15,,,,01-May
CA-Qc2,G_1_2_2,,-0.08,,,,01-May
CA-Ojp,TS_1_1_1,,-0.02,TEMP-Other,,Queens Univ-made thermo-couple rod,02-May
CA-Ojp,TS_1_2_1,,-0.05,TEMP-Other,,Queens Univ-made thermo-couple rod,02-May
CA-Ojp,USTAR,,28,,,,02-May
CA-Ojp,VPD_PI,,28,,,,02-May
CA-Ojp,WD,,29,,,,02-May
CA-Qc2,TA_PI_F_1,,15,,,,01-May
CA-Ojp,WS,,29,WIND-Other,,RM Young pro-peller anemometer,02-May
CA-Qc2,SWC_PI_2,,-0.1,,,,01-May
CA-Qc2,SWC_PI_3,,-0.2,,,,01-May
CA-Qc2,SWC_PI_4,,-0.5,,,,01-May
CA-Qc2,SWC_PI_1,,-0.05,,,,01-May
CA-Qc2,CO2_1_2_1,,3,,,,01-May
CA-Qc2,SWC_1_2_1,,-0.1,,,,01-May
CA-Qc2,SWC_1_3_1,,-0.2,,,,01-May
CA-Qc2,SWC_1_4_1,,-0.5,,,,01-May
CA-Qc2,SWC_1_1_1,,-0.05,,,,01-May
CA-Qc2,SWC_2_2_1,,-0.1,,,,01-May
CA-Qc2,SWC_2_3_1,,-0.2,,,,01-May
CA-Qc2,SWC_2_4_1,,-0.5,,,,01-May
CA-Qc2,SWC_2_1_1,,-0.05,,,,01-May
CA-Qc2,CO2_1_1_1,,15,,,,01-May
CA-Qc2,USTAR,,15,,,,01-May
CA-Qc2,TA_1_1_2,,15,,,,01-May
CA-Qc2,TA_1_2_1,,5,,,,01-May
CA-Qc2,RH_1_1_1,,15,,,,01-May
CA-Qc2,RH_1_2_1,,5,,,,01-May
CA-Qc2,PPFD_IN_1_1_3,,15,,,,01-May
CA-Qc2,PPFD_IN_1_1_1,,15,,,,01-May
CA-Qc2,PPFD_IN_1_1_2,,15,,,,01-May
CA-Qc2,FC_1_1_2,,15,,,,01-May
CA-Qc2,LE_1_1_2,,15,,,,01-May
CA-Qc2,FC_1_1_1,,15,,,,01-May
CA-Qc2,PPFD_IN_1_2_1,,1,,,,01-May
CA-Qc2,PPFD_OUT,,14,,,,01-May
CA-Qc2,LE_1_1_1,,15,,,,01-May
CA-Qc2,G_1_2_1,,-0.08,,,,01-May
CA-Qc2,TS_PI_F_2,,-0.05,,,,01-May
CA-Qc2,SC,,7.5,,,,01-May
CA-Qc2,SLE,,7.5,,,,01-May
CA-Qc2,SH,,7.5,,,,01-May
CA-Qc2,RH_PI_F_1,,15,,,,01-May
CA-Qc2,TS_1_1_1,,-0.03,,,,01-May
CA-Qc2,TS_1_3_1,,-0.1,,,,01-May
